source_module,source_classification,source_folder,target_module,target_classification,target_folder,relationship_type,is_forbidden_import
finance.cashflow_v14,cashflow,finance,finance.cashflow_v14_params,cashflow_params,finance,imports,False
finance.cashflow_v14,cashflow,finance,finance.cashflow_v14_fx,cashflow_fx,finance,imports,False
finance.cashflow_v14,cashflow,finance,finance.cashflow_v14_tax,cashflow_tax,finance,imports,False
finance.cashflow_v14,cashflow,finance,finance.cashflow_v14_production,cashflow_production,finance,imports,False
finance.cashflow_v14,cashflow,finance,finance.cashflow_v14_contracts,contract,finance,imports,False
finance.cashflow_v14_params,cashflow_params,finance,finance.cashflow_v14_contracts,contract,finance,imports,False
finance.cashflow_v14_fx,cashflow_fx,finance,finance.fx_v14,fx_engine,finance,imports,False
analytics.pipeline_v14,pipeline,analytics,analytics.evaluation_v14,gateway,analytics,imports,False
analytics.evaluation_v14,gateway,analytics,analytics.contracts_v14,contract,analytics,imports,False
analytics.evaluation_v14,gateway,analytics,finance.cashflow_v14,cashflow,finance,gateway_call,False
analytics.evaluation_v14,gateway,analytics,finance.debt_v14,debt,finance,gateway_call,False
analytics.evaluation_v14,gateway,analytics,finance.equity_v14,equity,finance,gateway_call,False
analytics.evaluation_v14,gateway,analytics,finance.wacc_v14,wacc,finance,gateway_call,False
analytics.evaluation_v14,gateway,analytics,finance.irr,irr,finance,gateway_call,False
analytics.sensitivity_v14,sensitivity,analytics,analytics.evaluation_v14,gateway,analytics,should_use_gateway,False
analytics.sensitivity_v14,sensitivity,analytics,analytics.contracts_v14,contract,analytics,imports,False
analytics.monte_carlo_v14,monte_carlo,analytics,analytics.evaluation_v14,gateway,analytics,imports,False
analytics.schema_guard,validation,analytics,analytics.contracts_v14,contract,analytics,imports,False
analytics.schema_guard,validation,analytics,finance.cashflow_v14,cashflow,finance,validates,False
finance.fx_v14,fx_engine,finance,finance.cashflow_v14_contracts,contract,finance,imports,False
